Timestamp,PreprocessMs,InferenceMs,PostprocessMs,TotalMs
2026-06-07 17:00:01.441,4.864,14.672,0.795,20.331
2026-06-07 17:00:01.491,4.990,15.693,1.463,22.147
2026-06-07 17:00:01.538,4.765,14.752,1.471,20.988
2026-06-07 17:00:01.583,4.900,14.958,0.917,20.776
2026-06-07 17:00:01.620,5.577,15.894,1.472,22.944
2026-06-07 17:00:01.664,4.734,14.762,1.446,20.942
2026-06-07 17:00:01.712,5.919,14.825,0.800,21.545
2026-06-07 17:00:01.760,5.031,15.211,1.615,21.858
2026-06-07 17:00:01.808,4.705,15.091,1.471,21.267
2026-06-07 17:00:01.853,4.687,14.856,0.864,20.408
2026-06-07 17:00:01.890,4.896,16.522,1.588,23.006
2026-06-07 17:00:01.919,4.825,15.085,1.458,21.369
2026-06-07 17:00:01.966,5.020,16.663,0.896,22.579
2026-06-07 17:00:02.014,4.799,14.591,1.728,21.118
2026-06-07 17:00:02.046,4.791,14.798,1.450,21.039
2026-06-07 17:00:02.093,4.963,15.641,0.795,21.400
2026-06-07 17:00:02.142,5.085,15.607,1.447,22.139
2026-06-07 17:00:02.188,4.798,14.662,1.491,20.951
2026-06-07 17:00:02.236,4.857,15.728,0.801,21.387
2026-06-07 17:00:02.284,4.780,14.801,1.461,21.043
2026-06-07 17:00:02.332,4.740,15.358,0.908,21.007
2026-06-07 17:00:02.366,5.035,15.757,0.810,21.604
2026-06-07 17:00:02.411,4.961,14.808,1.481,21.250
2026-06-07 17:00:02.457,4.648,14.886,0.863,20.397
2026-06-07 17:00:02.492,4.973,15.772,1.486,22.231
2026-06-07 17:00:02.538,4.834,14.614,1.456,20.904
2026-06-07 17:00:02.584,4.927,15.978,0.841,21.746
2026-06-07 17:00:02.622,4.769,17.887,1.476,24.131
2026-06-07 17:00:02.667,4.786,17.171,1.452,23.409
2026-06-07 17:00:02.714,5.178,18.346,1.009,24.534
2026-06-07 17:00:02.765,5.039,18.951,2.110,26.100
2026-06-07 17:00:02.808,4.876,14.997,1.455,21.329
2026-06-07 17:00:02.855,4.905,14.360,0.798,20.064
2026-06-07 17:00:02.906,4.705,14.541,1.460,20.707
2026-06-07 17:00:02.952,4.878,15.556,1.450,21.884
2026-06-07 17:00:02.998,4.685,14.455,0.805,19.946
2026-06-07 17:00:03.046,4.883,14.563,1.460,20.907
2026-06-07 17:00:03.094,4.760,14.993,1.452,21.205
2026-06-07 17:00:03.141,4.899,14.846,0.802,20.549
2026-06-07 17:00:03.189,4.625,14.992,1.463,21.081
2026-06-07 17:00:03.235,4.860,15.605,1.583,22.048
2026-06-07 17:00:03.268,4.664,14.956,0.795,20.416
2026-06-07 17:00:03.316,4.716,14.970,1.460,21.148
2026-06-07 17:00:03.362,4.994,15.537,1.623,22.155
2026-06-07 17:00:03.395,4.931,14.210,0.810,19.953
2026-06-07 17:00:03.443,4.750,15.106,1.454,21.310
2026-06-07 17:00:03.491,4.869,15.516,0.817,21.203
2026-06-07 17:00:03.539,4.645,14.906,1.471,21.023
