Timestamp,PreprocessMs,InferenceMs,PostprocessMs,TotalMs
2026-06-07 18:05:46.827,4.765,14.049,0.825,19.639
2026-06-07 18:05:46.948,4.497,14.711,11.414,30.623
2026-06-07 18:05:47.036,4.843,13.818,1.277,19.938
2026-06-07 18:05:47.154,4.596,14.495,18.573,37.664
2026-06-07 18:05:47.239,4.643,14.867,1.487,20.997
2026-06-07 18:05:47.269,4.256,13.224,1.270,18.750
2026-06-07 18:05:47.337,4.906,13.938,0.841,19.686
2026-06-07 18:05:47.443,5.979,14.400,2.272,22.651
2026-06-07 18:05:47.479,5.964,13.584,1.372,20.920
2026-06-07 18:05:47.542,6.232,14.576,0.903,21.711
2026-06-07 18:05:47.643,5.411,14.295,1.680,21.387
2026-06-07 18:05:47.674,4.459,12.512,1.405,18.377
2026-06-07 18:05:47.741,5.476,13.760,0.888,20.123
2026-06-07 18:05:47.843,4.839,14.099,1.579,20.517
2026-06-07 18:05:47.873,5.037,13.084,1.344,19.465
2026-06-07 18:05:47.942,4.597,14.197,0.836,19.631
2026-06-07 18:05:48.044,4.806,14.054,1.766,20.627
2026-06-07 18:05:48.072,4.857,16.169,1.546,22.573
2026-06-07 18:05:48.142,5.160,14.416,0.882,20.459
2026-06-07 18:05:48.247,4.701,14.481,1.980,21.162
2026-06-07 18:05:48.278,4.894,13.521,1.308,19.723
2026-06-07 18:05:48.347,5.644,14.939,0.862,21.445
2026-06-07 18:05:48.452,5.837,15.714,2.013,23.566
2026-06-07 18:05:48.485,4.580,14.096,1.399,20.075
2026-06-07 18:05:48.549,5.289,14.322,0.845,20.457
2026-06-07 18:05:48.646,4.908,13.878,1.589,20.375
2026-06-07 18:05:48.676,4.536,12.750,1.327,18.613
2026-06-07 18:05:48.749,4.693,13.971,0.835,19.500
2026-06-07 18:05:48.917,4.739,14.003,10.588,29.331
2026-06-07 18:05:48.948,5.022,14.922,6.154,26.098
2026-06-07 18:05:49.004,4.941,13.907,0.845,19.693
2026-06-07 18:05:49.106,4.615,14.809,1.506,20.929
2026-06-07 18:05:49.131,5.075,14.404,0.882,20.362
2026-06-07 18:05:49.211,5.553,14.349,1.894,21.798
2026-06-07 18:05:49.306,4.711,14.909,1.357,20.977
2026-06-07 18:05:49.424,4.624,14.888,10.707,30.219
2026-06-07 18:05:49.519,4.661,15.210,14.940,34.811
2026-06-07 18:05:49.611,4.819,14.302,1.393,20.515
2026-06-07 18:05:49.725,4.762,14.807,18.892,38.462
2026-06-07 18:05:49.890,5.094,14.448,1.511,21.054
2026-06-07 18:05:50.010,4.912,15.598,8.321,28.831
2026-06-07 18:05:50.037,5.663,15.076,0.889,21.627
2026-06-07 18:05:50.099,5.427,15.156,2.104,22.688
2026-06-07 18:05:50.132,6.636,13.259,1.397,21.293
